date,rate
2014-01-02,3.3816
2014-01-03,3.3884
2014-01-04,3.3884
2014-01-05,3.3884
2014-01-06,3.3884
2014-01-07,3.3817
2014-01-08,3.3765
2014-01-09,3.3787
2014-01-10,3.3818
2014-01-11,3.3818
2014-01-12,3.3818
2014-01-13,3.3718
2014-01-14,3.3731
2014-01-15,3.3614
2014-01-16,3.3713
2014-01-17,3.3745
2014-01-18,3.3745
2014-01-19,3.3745
2014-01-20,3.3719
2014-01-21,3.3706
2014-01-22,3.3758
2014-01-23,3.3843
2014-01-24,3.4237
2014-01-25,3.4237
2014-01-26,3.4237
2014-01-27,3.452
2014-01-28,3.4065
2014-01-29,3.4348
2014-01-30,3.4663
2014-01-31,3.4644
2014-02-01,3.4644
2014-02-02,3.4644
2014-02-03,3.4678
2014-02-04,3.4489
2014-02-05,3.4254
2014-02-06,3.4227
2014-02-07,3.4229
2014-02-08,3.4229
2014-02-09,3.4229
2014-02-10,3.4196
2014-02-11,3.4149
2014-02-12,3.4036
2014-02-13,3.417
2014-02-14,3.3974
2014-02-15,3.3974
2014-02-16,3.3974
2014-02-17,3.3917
2014-02-18,3.4017
2014-02-19,3.4083
2014-02-20,3.4247
2014-02-21,3.4149
2014-02-22,3.4149
2014-02-23,3.4149
2014-02-24,3.4121
2014-02-25,3.4103
2014-02-26,3.4094
2014-02-27,3.4407
2014-02-28,3.4211
2014-03-01,3.4211
2014-03-02,3.4211
2014-03-03,3.4607
2014-03-04,3.4474
2014-03-05,3.4344
2014-03-06,3.4267
2014-03-07,3.4361
2014-03-08,3.4361
2014-03-09,3.4361
2014-03-10,3.4465
2014-03-11,3.4626
2014-03-12,3.4774
2014-03-13,3.4787
2014-03-14,3.487
2014-03-15,3.487
2014-03-16,3.487
2014-03-17,3.4806
2014-03-18,3.4786
2014-03-19,3.4538
2014-03-20,3.451
2014-03-21,3.4468
2014-03-22,3.4468
2014-03-23,3.4468
2014-03-24,3.4448
2014-03-25,3.4365
2014-03-26,3.4211
2014-03-27,3.4309
2014-03-28,3.4194
2014-03-29,3.4194
2014-03-30,3.4194
2014-03-31,3.4192
2014-04-01,3.4286
2014-04-02,3.4258
2014-04-03,3.4176
2014-04-04,3.4052
2014-04-05,3.4052
2014-04-06,3.4052
2014-04-07,3.4178
2014-04-08,3.4177
2014-04-09,3.4189
2014-04-10,3.4262
2014-04-11,3.4343
2014-04-12,3.4343
2014-04-13,3.4343
2014-04-14,3.4437
2014-04-15,3.4409
2014-04-16,3.4461
2014-04-17,3.4471
