date,rate
2014-01-02,5.0167
2014-01-03,5.0214
2014-01-07,5.0308
2014-01-08,5.0427
2014-01-09,5.0521
2014-01-10,5.0389
2014-01-13,5.0039
2014-01-14,4.9874
2014-01-15,5.0066
2014-01-16,4.9978
2014-01-17,5.0313
2014-01-20,5.0456
2014-01-21,5.0536
2014-01-22,5.0906
2014-01-23,5.0732
2014-01-24,5.1072
2014-01-27,5.1076
2014-01-28,5.0767
2014-01-29,5.1122
2014-01-30,5.1283
2014-01-31,5.1458
2014-02-03,5.1274
2014-02-04,5.0928
2014-02-05,5.0415
2014-02-06,5.0431
2014-02-07,5.0425
2014-02-10,5.0291
2014-02-11,5.0238
2014-02-12,5.0309
2014-02-13,5.0833
2014-02-14,5.0674
2014-02-17,5.0586
2014-02-18,5.0512
2014-02-19,5.0513
2014-02-20,5.0741
2014-02-21,5.067
2014-02-24,5.044
2014-02-25,5.0492
2014-02-26,5.05
2014-02-27,5.0991
2014-02-28,5.0697
2014-03-03,5.0978
2014-03-04,5.0841
2014-03-05,5.085
2014-03-06,5.0865
2014-03-07,5.0553
2014-03-10,5.0428
2014-03-11,5.0641
2014-03-12,5.0714
2014-03-13,5.0531
2014-03-14,5.0675
2014-03-17,5.0598
2014-03-18,5.0486
2014-03-19,5.0275
2014-03-20,5.0448
2014-03-21,5.0224
2014-03-24,5.0257
2014-03-25,5.006
2014-03-26,5.0111
2014-03-27,5.0557
2014-03-28,5.0466
2014-03-31,5.0485
2014-04-01,5.0395
2014-04-02,5.044
2014-04-03,5.0369
2014-04-04,5.0435
2014-04-07,5.0463
2014-04-08,5.0578
2014-04-09,5.0567
2014-04-10,5.0472
2014-04-11,5.0452
2014-04-14,5.0626
2014-04-15,5.0694
2014-04-16,5.0883
2014-04-17,5.1028
2014-04-18,5.0789
2014-04-22,5.1039
2014-04-23,5.0907
2014-04-24,5.0838
2014-04-25,5.1069
2014-04-28,5.1147
2014-04-29,5.0958
2014-04-30,5.1181
2014-05-02,5.1148
2014-05-05,5.1132
2014-05-06,5.1138
2014-05-07,5.1229
2014-05-08,5.0952
2014-05-09,5.1131
2014-05-12,5.1278
2014-05-13,5.1206
2014-05-14,5.1238
2014-05-15,5.1255
2014-05-16,5.1375
2014-05-19,5.1385
2014-05-20,5.1531
2014-05-21,5.1627
2014-05-22,5.1492
2014-05-23,5.1369
2014-05-26,5.1328
2014-05-27,5.1442
2014-05-28,5.1302
2014-05-29,5.0867
2014-05-30,5.0928
2014-06-02,5.0898
2014-06-03,5.1048
2014-06-04,5.1035
2014-06-05,5.0736
2014-06-06,5.079
2014-06-09,5.0549
2014-06-10,5.0933
2014-06-11,5.1085
2014-06-12,5.114
2014-06-13,5.1597
2014-06-16,5.2023
2014-06-17,5.1696
2014-06-18,5.1835
2014-06-20,5.2022
2014-06-23,5.2134
2014-06-24,5.1851
2014-06-25,5.169
2014-06-26,5.1678
2014-06-27,5.19
2014-06-30,5.1885
2014-07-01,5.1996
2014-07-02,5.2168
2014-07-03,5.2132
2014-07-04,5.2307
2014-07-07,5.2281
2014-07-08,5.2051
2014-07-09,5.1895
2014-07-10,5.1903
2014-07-11,5.2122
2014-07-14,5.1991
2014-07-15,5.2196
2014-07-16,5.2235
2014-07-17,5.2328
2014-07-18,5.2439
2014-07-21,5.2412
2014-07-22,5.2466
2014-07-23,5.2398
2014-07-24,5.2247
2014-07-25,5.2327
2014-07-28,5.2391
2014-07-29,5.2479
2014-07-30,5.2447
2014-07-31,5.2506
2014-08-01,5.2665
2014-08-04,5.2363
2014-08-05,5.2545
2014-08-06,5.2831
2014-08-07,5.2877
2014-08-08,5.2948
2014-08-11,5.2669
2014-08-12,5.2772
2014-08-13,5.2848
2014-08-14,5.2149
2014-08-18,5.2435
2014-08-19,5.2195
2014-08-20,5.2406
2014-08-21,5.235
2014-08-22,5.23
