date,rate
2014-01-02,3.0315
2014-01-03,3.0517
2014-01-04,3.0517
2014-01-05,3.0517
2014-01-06,3.0517
2014-01-07,3.0688
2014-01-08,3.0717
2014-01-09,3.0695
2014-01-10,3.07
2014-01-11,3.07
2014-01-12,3.07
2014-01-13,3.045
2014-01-14,3.04
2014-01-15,3.0495
2014-01-16,3.0566
2014-01-17,3.0596
2014-01-18,3.0596
2014-01-19,3.0596
2014-01-20,3.068
2014-01-21,3.0763
2014-01-22,3.0761
2014-01-23,3.0559
2014-01-24,3.0727
2014-01-25,3.0727
2014-01-26,3.0727
2014-01-27,3.0884
2014-01-28,3.0635
2014-01-29,3.0829
2014-01-30,3.1166
2014-01-31,3.1288
2014-02-01,3.1288
2014-02-02,3.1288
2014-02-03,3.137
2014-02-04,3.1189
2014-02-05,3.0987
2014-02-06,3.095
2014-02-07,3.0857
2014-02-08,3.0857
2014-02-09,3.0857
2014-02-10,3.0683
2014-02-11,3.0581
2014-02-12,3.0552
2014-02-13,3.0532
2014-02-14,3.0334
2014-02-15,3.0334
2014-02-16,3.0334
2014-02-17,3.025
2014-02-18,3.03
2014-02-19,3.0286
2014-02-20,3.049
2014-02-21,3.0389
2014-02-22,3.0389
2014-02-23,3.0389
2014-02-24,3.0255
2014-02-25,3.0264
2014-02-26,3.026
2014-02-27,3.0655
2014-02-28,3.0254
2014-03-01,3.0254
2014-03-02,3.0254
2014-03-03,3.0462
2014-03-04,3.0489
2014-03-05,3.0477
2014-03-06,3.0427
2014-03-07,3.0185
2014-03-08,3.0185
2014-03-09,3.0185
2014-03-10,3.0266
2014-03-11,3.0449
2014-03-12,3.0508
2014-03-13,3.0284
2014-03-14,3.0481
2014-03-15,3.0481
2014-03-16,3.0481
2014-03-17,3.043
2014-03-18,3.0396
2014-03-19,3.0245
2014-03-20,3.05
2014-03-21,3.0425
2014-03-22,3.0425
2014-03-23,3.0425
2014-03-24,3.0483
2014-03-25,3.0342
2014-03-26,3.0318
2014-03-27,3.0401
2014-03-28,3.0374
2014-03-29,3.0374
2014-03-30,3.0374
2014-03-31,3.0344
2014-04-01,3.0278
2014-04-02,3.0288
2014-04-03,3.033
2014-04-04,3.0397
2014-04-05,3.0397
2014-04-06,3.0397
2014-04-07,3.0446
2014-04-08,3.0276
2014-04-09,3.0221
2014-04-10,3.0092
2014-04-11,3.0086
2014-04-12,3.0086
2014-04-13,3.0086
2014-04-14,3.0288
2014-04-15,3.0325
2014-04-16,3.0272
2014-04-17,3.0317
2014-04-18,3.0265
2014-04-19,3.0265
2014-04-20,3.0265
2014-04-21,3.0265
2014-04-22,3.034
2014-04-23,3.0273
2014-04-24,3.0285
2014-04-25,3.0378
2014-04-26,3.0378
2014-04-27,3.0378
2014-04-28,3.0368
2014-04-29,3.0318
2014-04-30,3.044
2014-05-01,3.044
2014-05-02,3.0289
2014-05-03,3.0289
2014-05-04,3.0289
2014-05-05,3.031
2014-05-06,3.0196
2014-05-07,3.0187
2014-05-08,3.0042
2014-05-09,3.0247
2014-05-10,3.0247
2014-05-11,3.0247
2014-05-12,3.0362
2014-05-13,3.0381
2014-05-14,3.048
2014-05-15,3.0589
2014-05-16,3.0567
2014-05-17,3.0567
2014-05-18,3.0567
2014-05-19,3.0558
2014-05-20,3.062
2014-05-21,3.054
2014-05-22,3.0525
2014-05-23,3.049
2014-05-24,3.049
2014-05-25,3.049
2014-05-26,3.0466
2014-05-27,3.0532
2014-05-28,3.0598
2014-05-29,3.0395
2014-05-30,3.0435
2014-05-31,3.0435
2014-06-01,3.0435
2014-06-02,3.0413
2014-06-03,3.0449
2014-06-04,3.0491
2014-06-05,3.0275
2014-06-06,3.0222
2014-06-07,3.0222
2014-06-08,3.0222
2014-06-09,3.0067
2014-06-10,3.0303
2014-06-11,3.0431
2014-06-12,3.0374
2014-06-13,3.0382
2014-06-14,3.0382
2014-06-15,3.0382
2014-06-16,3.0654
2014-06-17,3.0495
2014-06-18,3.0589
2014-06-19,3.0589
2014-06-20,3.0495
2014-06-21,3.0495
2014-06-22,3.0495
2014-06-23,3.0627
2014-06-24,3.0526
2014-06-25,3.0451
2014-06-26,3.0361
2014-06-27,3.0485
2014-06-28,3.0485
2014-06-29,3.0485
2014-06-30,3.0473
2014-07-01,3.0355
2014-07-02,3.0387
2014-07-03,3.0418
2014-07-04,3.0495
2014-07-05,3.0495
2014-07-06,3.0495
2014-07-07,3.0497
2014-07-08,3.0441
2014-07-09,3.0322
2014-07-10,3.0323
2014-07-11,3.0426
2014-07-12,3.0426
2014-07-13,3.0426
2014-07-14,3.0368
2014-07-15,3.0454
2014-07-16,3.0503
2014-07-17,3.0579
2014-07-18,3.0652
2014-07-19,3.0652
2014-07-20,3.0652
2014-07-21,3.07
2014-07-22,3.0748
2014-07-23,3.0707
2014-07-24,3.0702
2014-07-25,3.0831
2014-07-26,3.0831
2014-07-27,3.0831
2014-07-28,3.086
2014-07-29,3.09
2014-07-30,3.0978
2014-07-31,3.1094
2014-08-01,3.128
2014-08-02,3.128
2014-08-03,3.128
2014-08-04,3.1114
2014-08-05,3.1121
2014-08-06,3.1377
2014-08-07,3.1397
2014-08-08,3.1509
2014-08-09,3.1509
2014-08-10,3.1509
2014-08-11,3.1378
2014-08-12,3.1465
2014-08-13,3.1442
2014-08-14,3.1285
2014-08-15,3.1285
2014-08-16,3.1285
2014-08-17,3.1285
2014-08-18,3.1342
2014-08-19,3.1356
2014-08-20,3.147
2014-08-21,3.1569
2014-08-22,3.152
2014-08-23,3.152
2014-08-24,3.152
2014-08-25,3.168
2014-08-26,3.1686
2014-08-27,3.1764
2014-08-28,3.1834
2014-08-29,3.1965
2014-08-30,3.1965
2014-08-31,3.1965
2014-09-01,3.2035
2014-09-02,3.2112
2014-09-03,3.1912
2014-09-04,3.1947
2014-09-05,3.2354
2014-09-06,3.2354
2014-09-07,3.2354
2014-09-08,3.2303
2014-09-09,3.2605
2014-09-10,3.2508
2014-09-11,3.2435
2014-09-12,3.2468
2014-09-13,3.2468
2014-09-14,3.2468
2014-09-15,3.2522
2014-09-16,3.2419
2014-09-17,3.2331
2014-09-18,3.249
2014-09-19,3.2507
2014-09-20,3.2507
2014-09-21,3.2507
2014-09-22,3.257
2014-09-23,3.243
2014-09-24,3.2525
2014-09-25,3.2823
2014-09-26,3.2776
2014-09-27,3.2776
2014-09-28,3.2776
2014-09-29,3.3
2014-09-30,3.2973
2014-10-01,3.3172
2014-10-02,3.3039
2014-10-03,3.3079
2014-10-04,3.3079
2014-10-05,3.3079
2014-10-06,3.3343
2014-10-07,3.3106
2014-10-08,3.305
2014-10-09,3.2776
2014-10-10,3.2985
2014-10-11,3.2985
2014-10-12,3.2985
2014-10-13,3.3062
2014-10-14,3.3095
2014-10-15,3.3262
2014-10-16,3.2985
2014-10-17,3.2964
2014-10-18,3.2964
2014-10-19,3.2964
2014-10-20,3.3109
2014-10-21,3.2987
2014-10-22,3.3275
2014-10-23,3.339
2014-10-24,3.3387
2014-10-25,3.3387
2014-10-26,3.3387
2014-10-27,3.3288
2014-10-28,3.3295
2014-10-29,3.3192
2014-10-30,3.3592
2014-10-31,3.3459
2014-11-01,3.3459
2014-11-02,3.3459
2014-11-03,3.3772
2014-11-04,3.3776
2014-11-05,3.3887
2014-11-06,3.3769
2014-11-07,3.4084
2014-11-08,3.4084
2014-11-09,3.4084
2014-11-10,3.3765
2014-11-11,3.3765
2014-11-12,3.3966
2014-11-13,3.386
2014-11-14,3.3933
2014-11-15,3.3933
2014-11-16,3.3933
2014-11-17,3.3819
2014-11-18,3.3706
2014-11-19,3.3655
2014-11-20,3.368
2014-11-21,3.3827
2014-11-22,3.3827
2014-11-23,3.3827
2014-11-24,3.3842
2014-11-25,3.3706
2014-11-26,3.3546
2014-11-27,3.3528
2014-11-28,3.3605
2014-11-29,3.3605
2014-11-30,3.3605
2014-12-01,3.3519
2014-12-02,3.3466
2014-12-03,3.373
2014-12-04,3.3728
2014-12-05,3.3619
2014-12-06,3.3619
2014-12-07,3.3619
